name,city,price,checkin,checkout,rating,plan,star_rating,check_in,check_out,rooms,restaurants,bars
El Cid La Ceiba Beach Resort,Cozumel,1819,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",,All Inclusive,7,3:00 p.m.,12:00 p.m.,76.0,2.0,2.0
Coral Princess Hotel & Dive Resort,On the north side of Cozumel island,1919,"Check-in: Mar 25, 2025","Check-out: Mar 30, 2025",,European,8,3:00 p.m.,12:00 p.m.,140.0,1.0,3.0
Tukan Hotel Playa Del Carmen,Playa del Carmen,849,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,European,6,3:00 p.m.,12:00 p.m.,156.0,1.0,1.0
Grand Oasis Tulum Riviera,Akumal,1309,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,206.0,5.0,8.0
Bluebay Grand Esmeralda,Playa del Carmen,1319,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,979.0,6.0,5.0
Grand Oasis Palm,"Cancun’s hotel zone, on Isla Mujeres Bay",1329,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,514.0,7.0,9.0
Grand Oasis Cancun,Cancun’s Hotel Zone,1349,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,1230.0,13.0,15.0
Catalonia Yucatan Beach,Puerto Aventuras,1379,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,205.0,7.0,7.0
Bahia Principe Grand Coba,Tulum,1409,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1080.0,9.0,7.0
The Sens Tulum Riviera,Akumal,1429,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",3.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,94.0,5.0,10.0
The Sens Cancun,Cancun's hotel zone on Isla Mujeres Bay,1469,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,173.0,10.0,12.0
Ocean Coral & Turquesa,Caracol,1509,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,594.0,13.0,9.0
Catalonia Riviera Maya Resort & Spa,Puerto Aventuras,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,423.0,11.0,8.0
Viva Maya By Wyndham,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,604.0,7.0,3.0
Grand Riviera Princess,Playa del Carmen,1549,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,674.0,9.0,9.0
Ocean Riviera Paradise,Playa del Carmen,1559,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,974.0,10.0,12.0
Viva Azteca By Wyndham,Playa del Carmen,1599,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,339.0,5.0,2.0
Seadust Cancun Family Resort,Playa Delfines,1609,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,502.0,10.0,8.0
Krystal Grand Cancun,"Hotel Zone, Cancun",1619,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,400.0,6.0,5.0
The Pyramid Cancun,"Hotel Zone, Cancun",1629,"Check-in: Mar 23, 2025","Check-out: Mar 28, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,442.0,20.0,20.0
Sensira Resort & Spa Riviera Maya,"Petempich Bay, Riviera Maya",1639,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,359.0,8.0,6.0
Wyndham Alltra Playa Del Carmen Adults Only All-inclusive Resort,Playa del Carmen,1649,"Check-in: Mar 21, 2025","Check-out: Mar 26, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,287.0,7.0,3.0
Aloft Tulum,Tulum city centre,1029,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,European,9,3:00 p.m.,12:00 p.m.,140.0,2.0,2.0
Tukan Hotel Playa Del Carmen,Playa del Carmen,1049,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,European,6,3:00 p.m.,12:00 p.m.,156.0,1.0,1.0
Kimpton Aluna Resort Tulum,Aldea Zamna (not on the beach),1139,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,European,9,3:00 p.m.,12:00 p.m.,78.0,2.0,2.0
Siente Tulum,Tulum,1259,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,European,7,3:00 p.m.,12:00 p.m.,83.0,1.0,1.0
Motto By Hilton Tulum,Tulum City Centre,1299,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",5.0,European,9,3:00 p.m.,12:00 p.m.,115.0,2.0,2.0
Grand Oasis Tulum Riviera,Akumal,1479,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,206.0,5.0,8.0
Bahia Principe Grand Coba,Tulum,1559,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1080.0,9.0,7.0
Catalonia Yucatan Beach,Puerto Aventuras,1559,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,205.0,7.0,7.0
The Sens Tulum Riviera,Akumal,1599,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",3.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,94.0,5.0,10.0
Catalonia Riviera Maya Resort & Spa,Puerto Aventuras,1729,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,423.0,11.0,8.0
Viva Maya By Wyndham,Playa del Carmen,1749,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,604.0,7.0,3.0
Viva Azteca By Wyndham,Playa del Carmen,1789,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,339.0,5.0,2.0
Wyndham Alltra Playa Del Carmen Adults Only All-inclusive Resort,Playa del Carmen,1819,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,287.0,7.0,3.0
Bahia Principe Luxury Sian Ka'an,Tulum,1849,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,420.0,4.0,5.0
Bahia Principe Grand Tulum,Tulum,1869,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,774.0,8.0,4.0
Bahia Principe Luxury Akumal,Tulum,1999,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,758.0,7.0,8.0
Emotions By Hodelpa Juan Dolio,Juan Dolio,1419,"Check-in: Mar 30, 2025","Check-out: Apr 6, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,409.0,7.0,4.0
Viva Miches By Wyndham,"Miches, Punta Cana",1519,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,538.0,7.0,4.0
Sunscape Coco Punta Cana,Cabeza de Toro,1559,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,1091.0,13.0,11.0
Bahia Principe Grand La Romana,El Soco,1629,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,400.0,6.0,5.0
Impressive Punta Cana,"El Cortecito, Bavaro",1669,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,654.0,8.0,5.0
Bahia Principe Grand Turquesa,"Bavaro Beach, Punta Cana",1809,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,360.0,3.0,4.0
Bahia Principe Grand Punta Cana,Playa de Arena Gorda,1859,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1428.0,7.0,8.0
Bahia Principe Luxury Bouganville,Ramon Santana,1889,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,0,3:00 p.m.,12:00 p.m.,414.0,6.0,6.0
Wyndham Alltra Punta Cana All-inclusive Resort,Uvero Alto,1899,"Check-in: Mar 30, 2025","Check-out: Apr 6, 2025",,All Inclusive,8,3:00 p.m.,12:00 p.m.,620.0,12.0,10.0
Catalonia Bavaro Beach Golf & Casino Resort,Cabeza de Toro Beach,1929,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,682.0,8.0,8.0
Impressive Premium Punta Cana,"El Cortecito, Bavaro",1959,"Check-in: Mar 23, 2025","Check-out: Mar 30, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,255.0,10.0,10.0
Hotel Mojito,Playa Mojito,1049,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,7,4:00 p.m.,12:00 p.m.,352.0,4.0,5.0
Hotel Playa Coco,Cayo Coco,1059,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,8,4:00 p.m.,12:00 p.m.,307.0,4.0,7.0
Starfish Cayo Guillermo,Cayo Guillermo,1079,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,6,4:00 p.m.,12:00 p.m.,296.0,5.0,3.0
Hotel Playa Paraiso,Cayo Coco,1079,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,508.0,7.0,5.0
Melia Jardines Del Rey,Cayo Coco,1129,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,8,4:00 p.m.,12:00 p.m.,1176.0,11.0,6.0
Sol Cayo Coco,Playa Mojito,1129,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,7,4:00 p.m.,12:00 p.m.,270.0,4.0,6.0
Grand Muthu Cayo Guillermo,Cayo Guilermo,1139,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,8,4:00 p.m.,12:00 p.m.,500.0,5.0,6.0
Valentin Cayo Cruz,Cayo Cruz,1139,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,9,4:00 p.m.,12:00 p.m.,546.0,6.0,6.0
Gran Muthu Imperial Cayo Guillermo,Cayo Guillermo,1139,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,4:00 p.m.,12:00 p.m.,500.0,6.0,8.0
Iberostar Origin Daiquiri,Cayo Guillermo,1179,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.0,All Inclusive,8,4:00 p.m.,12:00 p.m.,312.0,4.0,4.0
Iberostar Selection Esmeralda,Cayo Cruz,1229,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,9,4:00 p.m.,12:00 p.m.,450.0,6.0,4.0
Vila Galé Cayo Paredon,Cayo Paredon,1279,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,638.0,6.0,6.0
Gran Muthu Rainbow Cayo Guillermo,Cayo Guillermo,1309,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,4:00 p.m.,12:00 p.m.,248.0,6.0,5.0
Grand Aston Cayo Paredon,Cayo Paredon Grande,1319,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,4:00 p.m.,12:00 p.m.,635.0,10.0,4.0
Sanctuary White Sands,Cayo Cruz,1329,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,4:00 p.m.,12:00 p.m.,528.0,6.0,5.0
Melia Costa Rey,Jardines del Rey,1359,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,8,4:00 p.m.,12:00 p.m.,566.0,12.0,10.0
Iberostar Coral Esmeralda,Cayo Cruz,1609,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,9,,,,,
Playa Luxury Cayo Guillermo,Playa Pilar,1659,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",,All Inclusive,9,3:00 p.m.,12:00 p.m.,245.0,4.0,5.0
Melia Cayo Coco,Cayo Coco,1699,"Check-in: Mar 26, 2025","Check-out: Mar 31, 2025",4.5,All Inclusive,9,4:00 p.m.,12:00 p.m.,250.0,6.0,6.0
Memories Flamenco Beach Resort,Playa Flamencos,1969,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,All Inclusive,7,4:00 p.m.,12:00 p.m.,624.0,7.0,7.0
Sunscape Coco Punta Cana,Cabeza de Toro,1479,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,1091.0,13.0,11.0
Sunscape Dominicus La Romana,Bayahibe,1479,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,854.0,12.0,9.0
Viva Miches By Wyndham,"Miches, Punta Cana",1519,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,538.0,7.0,4.0
Impressive Punta Cana,"El Cortecito, Bavaro",1559,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,654.0,8.0,5.0
Bahia Principe Grand La Romana,El Soco,1579,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,400.0,6.0,5.0
Emotions By Hodelpa Juan Dolio,Juan Dolio,1639,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,409.0,7.0,4.0
Bahia Principe Grand Turquesa,"Bavaro Beach, Punta Cana",1659,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,360.0,3.0,4.0
Bahia Principe Grand Punta Cana,Playa de Arena Gorda,1699,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,1428.0,7.0,8.0
Ocean Blue & Sand,Bavaro Beach,1739,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,708.0,10.0,11.0
Catalonia Bavaro Beach Golf & Casino Resort,Cabeza de Toro Beach,1749,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,682.0,8.0,8.0
Impressive Premium Punta Cana,"El Cortecito, Bavaro",1759,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,255.0,10.0,10.0
Bahia Principe Luxury Bouganville,Ramon Santana,1769,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,0,3:00 p.m.,12:00 p.m.,414.0,6.0,6.0
Ocean El Faro,Uvero Alto Beach,1779,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,911.0,10.0,13.0
Bahia Principe Grand Aquamarine,Bavaro,1829,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,0,3:00 p.m.,12:00 p.m.,498.0,3.0,2.0
Grand Sirenis Punta Cana Resort & Aquagames,Playa Palmera,1839,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,816.0,13.0,12.0
Dreams Cap Cana Resort & Spa,"Juanillo Beach, Cap Cana",1839,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",,All Inclusive,0,3:00 p.m.,12:00 p.m.,519.0,9.0,6.0
Grand Palladium Punta Cana Resort & Spa,Bavaro,1929,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,9,3:00 p.m.,12:00 p.m.,582.0,14.0,25.0
Iberostar Waves Dominicana,Bavaro,1929,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,8,3:00 p.m.,11:00 a.m.,346.0,8.0,8.0
Bahia Principe Fantasia Punta Cana,Bavaro,1949,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.0,All Inclusive,0,3:00 p.m.,12:00 p.m.,512.0,5.0,6.0
Paradisus Grand Cana,Bavaro,1959,"Check-in: Mar 22, 2025","Check-out: Mar 27, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,432.0,8.0,4.0
Viva Tangerine By Wyndham,Cabarete,1629,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,314.0,4.0,2.0
Bahia Principe Grand Samana,Samana Bay,1689,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",4.5,All Inclusive,0,3:00 p.m.,12:00 p.m.,149.0,4.0,3.0
Wyndham Alltra Samana All-inclusive Resort,Las Galeras Beach,1769,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,404.0,6.0,5.0
Bahia Principe Grand El Portillo,Abra Grande,1919,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,606.0,7.0,7.0
Rooms On The Beach Negril,Seven Mile Beach,1479,"Check-in: Mar 28, 2025","Check-out: Apr 2, 2025",4.5,European,6,3:00 p.m.,11:00 a.m.,57.0,1.0,1.0
"Grand Decameron Montego Beach, A Trademark All-inclusive Resort",Hip Strip,1769,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,All Inclusive,7,3:00 p.m.,12:00 p.m.,144.0,4.0,9.0
Seagarden Beach Resort,Across the street from the beach,1849,"Check-in: Mar 20, 2025","Check-out: Mar 25, 2025",3.5,All Inclusive,7,,,,,
Catalonia Montego Bay,Montego Bay,1909,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,All Inclusive,8,3:00 p.m.,11:00 a.m.,522.0,8.0,5.0
"Decameron Club Caribbean Runaway Bay, Ramada All-inclusive Resort",Salem,1929,"Check-in: Mar 30, 2025","Check-out: Apr 4, 2025",4.0,All Inclusive,6,3:00 p.m.,12:00 p.m.,231.0,3.0,5.0
Playabachata Spa Resort,Playa de Bachata,1379,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.0,All Inclusive,7,3:00 p.m.,12:00 p.m.,998.0,9.0,7.0
Viva Tangerine By Wyndham,Cabarete,1559,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,314.0,4.0,2.0
Marien Puerto Plata Hotel,Costa Dorada,1569,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.0,All Inclusive,8,3:00 p.m.,12:00 p.m.,313.0,7.0,7.0
Bluebay Villas Doradas,Playa Dorada,1589,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,245.0,4.0,4.0
Viva Heavens By Wyndham,Playa Dorada,1609,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.5,All Inclusive,8,3:00 p.m.,12:00 p.m.,190.0,6.0,3.0
Emotions By Hodelpa Puerto Plata,Playa Dorada,1759,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,450.0,7.0,4.0
Vh Gran Ventana Beach Resort,Playa Dorada,1769,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.0,All Inclusive,8,3:00 p.m.,1:00 p.m,506.0,4.0,6.0
Senator Puerto Plata Spa Resort,Punta de la Guardia,1839,"Check-in: Mar 25, 2025","Check-out: Apr 1, 2025",4.5,All Inclusive,9,3:00 p.m.,12:00 p.m.,567.0,9.0,4.0
City Express Plus And Suites Cabo San Lucas,El tezal,1919,"Check-in: Mar 20, 2025","Check-out: Mar 24, 2025",,European,6,3:00 p.m.,1:00 p.m,163.0,2.0,1.0
"Acoya Curacao Resort, Villas & Spa",Willemstad,1479,"Check-in: Mar 20, 2025","Check-out: Mar 27, 2025",4.0,European,8,4:00 p.m.,12:00 p.m.,188.0,2.0,1.0
Casa Conde Hotel & Apartments,San José,1139,"Check-in: Mar 31, 2025","Check-out: Apr 7, 2025",4.0,European,7,2:00 p.m.,12:00 p.m.,94.0,0.0,0.0
Aloft San Jose Hotel,San Jose,1329,"Check-in: Mar 31, 2025","Check-out: Apr 7, 2025",4.0,European,7,3:00 p.m.,12:00 p.m.,150.0,2.0,1.0
Holiday Inn San Jose La Sabana,San Jose,1369,"Check-in: Mar 31, 2025","Check-out: Apr 7, 2025",4.0,European,8,3:00 p.m.,12:00 p.m.,118.0,1.0,1.0
Best Western Jaco Beach Resort,Jaco Beach,1869,"Check-in: Mar 31, 2025","Check-out: Apr 7, 2025",4.0,All Inclusive,6,3:00 p.m.,12:00 p.m.,125.0,1.0,2.0
Umaya Resort & Adventures,Placencia,1559,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",4.5,European,8,3:00 p.m.,11:00 a.m.,60.0,2.0,2.0
Bananas On The Beach,San Pedro area,1779,"Check-in: Mar 27, 2025","Check-out: Apr 3, 2025",3.5,European,7,,,,,
Westgate Las Vegas Resort & Casino,Paradise,599,"Check-in: Mar 20, 2025","Check-out: Mar 25, 2025",4.0,European,6,3:00 p.m.,11:00 a.m.,2956.0,13.0,5.0
"Treasure Island, Ti Las Vegas Hotel & Casino",The Las Vegas Strip,678,"Check-in: Mar 20, 2025","Check-out: Mar 25, 2025",4.0,European,8,3:00 p.m.,11:00 a.m.,36.0,12.0,10.0
